algo,run_no,itération,coût
hc,2,16,179.15954745343507
hc,2,17,177.9702301379138
hc,2,18,177.9702301379138
hc,2,19,177.9702301379138
hc,2,20,177.88387453369296
hc,2,21,177.79751892947212
hc,2,22,177.71116332525125
hc,2,23,177.71116332525125
hc,2,24,176.57005370123605
hc,2,25,176.57005370123605
hc,2,26,175.46210002558084
hc,2,27,175.46210002558084
hc,2,28,175.46210002558084
hc,2,29,175.46210002558084
hc,2,30,174.3873022982856
hc,2,31,174.3873022982856
hc,2,32,173.3456605193504
hc,2,33,171.9474914507588
hc,2,34,171.88576210675083
hc,2,35,171.88576210675083
hc,2,36,171.82403276274286
hc,2,37,171.7623034187349
hc,2,38,171.7623034187349
hc,2,39,171.7623034187349
hc,2,40,170.85458922836747
hc,2,41,170.85458922836747
hc,2,42,170.85458922836747
hc,2,43,170.79678860469824
hc,2,44,169.50997984609444
hc,2,45,169.50997984609444
hc,2,46,168.22317108749064
hc,2,47,168.22317108749064
hc,2,48,167.51827750679777
hc,2,49,166.83734650080598
ghc,2,0,166.08949843019812
ghc,2,0,163.67292665191383
ghc,2,1,161.83685655191127
ghc,2,2,160.26305816857626
ghc,2,3,159.87608913811195
ghc,2,4,158.89320429113974
ghc,2,5,158.61544100970832
ghc,2,6,158.46758663406254
ghc,2,7,158.07659628893094
ghc,2,8,157.7939647925971
ghc,2,9,157.79038266308427
ghc,2,10,157.6562526067093
ghc,2,11,157.53306660863635
ghc,2,12,157.50494151598656
ghc,2,13,157.50491026598655
ghc,2,14,157.50487901598655
ghc,2,15,157.50475401598655
ghc,2,16,157.50469151598654
ghc,2,17,157.50466026598656
ghc,2,18,157.50466026598656
ghc,2,19,157.50462901598655
ghc,2,20,157.50459776598655
ghc,2,21,157.50459776598655
ghc,2,22,157.50456651598654
ghc,2,23,157.50450401598656
ghc,2,24,157.50450401598656
ghc,2,25,157.50450401598656
ghc,2,26,157.50447276598655
ghc,2,27,157.50444151598654
ghc,2,28,157.50441026598656
ghc,2,29,157.50437901598656
ghc,2,30,157.50431651598655
ghc,2,31,157.50431651598655
ghc,2,32,157.50428526598654
ghc,2,33,157.50428526598654
ghc,2,34,157.50422276598655
ghc,2,35,157.50416026598654
ghc,2,36,157.50406651598655
ghc,2,37,157.50403526598654
ghc,2,38,157.50403526598654
ghc,2,39,157.50400401598654
ghc,2,40,157.50391026598655
ghc,2,41,157.50391026598655
ghc,2,42,157.50391026598655
ghc,2,43,157.50381651598656
ghc,2,44,157.50375401598654
ghc,2,45,157.50366026598655
ghc,2,46,157.50366026598655
ghc,2,47,157.50362901598655
ghc,2,48,157.50359776598654
ghc,2,49,157.50353526598656
rand,3,0,157.67587755639806
rand,3,1,157.67587755639806
rand,3,2,157.67587755639806
rand,3,3,157.67587755639806
rand,3,4,157.67587755639806
rand,3,5,157.67587755639806
rand,3,6,157.67587755639806
rand,3,7,157.67587755639806
rand,3,8,157.67587755639806
rand,3,9,157.67587755639806
rand,3,10,157.67587755639806
rand,3,11,157.67587755639806
rand,3,12,157.67587755639806
rand,3,13,157.67587755639806
rand,3,14,157.67587755639806
rand,3,15,157.67587755639806
rand,3,16,157.67587755639806
rand,3,17,157.67587755639806
rand,3,18,157.67587755639806
rand,3,19,157.67587755639806
rand,3,20,157.67587755639806
rand,3,21,157.67587755639806
